summary_type,feature_mode,register_type,count,all_transition_accuracy_mean,all_transition_accuracy_std,all_transition_accuracy_sem,all_transition_accuracy_min,all_transition_accuracy_median,all_transition_accuracy_max,hidden_dim,epochs,all_transition_accuracy,unwritten_mode,write_fraction,coverage_fraction,seen_transition_accuracy_mean,seen_transition_accuracy_std,seen_transition_accuracy_sem,seen_transition_accuracy_min,seen_transition_accuracy_median,seen_transition_accuracy_max,seen_transition_accuracy,unseen_transition_accuracy_mean,unseen_transition_accuracy_std,unseen_transition_accuracy_sem,unseen_transition_accuracy_min,unseen_transition_accuracy_median,unseen_transition_accuracy_max,unseen_transition_accuracy
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,300,0.7247916666666666,0.26828016279576333,0.015489162420837057,0.25,0.75,1.0,32.0,50.0,0.7247916666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,0.08645833333333333,0.05199747825710435,0.00474669862913341,0.0,0.09375,0.1875,32.0,0.0,0.08645833333333333,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,32.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,300,0.7271875,0.267489765631901,0.015443528819304794,0.25,0.75,1.0,32.0,50.0,0.7271875,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.06753472222222222,0.04687952595571997,0.003494193559665188,0.0,0.046875,0.234375,64.0,0.0,0.06753472222222222,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,1.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,2.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,5.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,10.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.9713541666666666,0.08399718847133746,0.00626078077802574,0.578125,1.0,1.0,64.0,20.0,0.9713541666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,690,0.7356884057971015,0.3050134640839501,0.01161166413022593,0.015625,0.8125,1.0,64.0,50.0,0.7356884057971015,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,0.07326388888888889,0.04441855284391154,0.0033107634540384266,0.0,0.0625,0.1875,64.0,0.0,0.07326388888888889,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,64.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,690,0.7226675724637681,0.3234878991889975,0.012314973854862948,0.015625,0.8125,1.0,64.0,50.0,0.7226675724637681,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.03732638888888889,0.02916812147209773,0.0021740634129193918,0.0,0.03125,0.125,128.0,0.0,0.03732638888888889,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.8782118055555556,0.18782304008490475,0.013999502845683829,0.2890625,1.0,1.0,128.0,1.0,0.8782118055555556,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.8782118055555556,0.18782304008490475,0.013999502845683829,0.2890625,1.0,1.0,128.0,2.0,0.8782118055555556,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.8782118055555556,0.18782304008490475,0.013999502845683829,0.2890625,1.0,1.0,128.0,5.0,0.8782118055555556,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.8782118055555556,0.18782304008490475,0.013999502845683829,0.2890625,1.0,1.0,128.0,10.0,0.8782118055555556,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,180,0.8782118055555556,0.18782304008490475,0.013999502845683829,0.2890625,1.0,1.0,128.0,20.0,0.8782118055555556,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,690,0.6731544384057971,0.31681729717758844,0.01206102837630672,0.0078125,0.7578125,1.0,128.0,50.0,0.6731544384057971,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,0.03576388888888889,0.026656499021801745,0.001986858128496845,0.0,0.03125,0.1171875,128.0,0.0,0.03576388888888889,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,128.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,128.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,128.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,128.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,180,1.0,0.0,0.0,1.0,1.0,1.0,128.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,690,0.7118659420289855,0.33297437463500196,0.012676117803014433,0.0078125,0.78125,1.0,128.0,50.0,0.7118659420289855,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,0.0234375,0.012363023127914326,0.0011285844410194588,0.00390625,0.01953125,0.05078125,256.0,0.0,0.0234375,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,0.814453125,0.20915556570734686,0.01909320356094464,0.296875,0.900390625,1.0,256.0,1.0,0.814453125,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,0.814453125,0.20915556570734686,0.01909320356094464,0.296875,0.900390625,1.0,256.0,2.0,0.814453125,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,0.814453125,0.20915556570734686,0.01909320356094464,0.296875,0.900390625,1.0,256.0,5.0,0.814453125,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,0.814453125,0.20915556570734686,0.01909320356094464,0.296875,0.900390625,1.0,256.0,10.0,0.814453125,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,120,0.814453125,0.20915556570734686,0.01909320356094464,0.296875,0.900390625,1.0,256.0,20.0,0.814453125,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,300,0.5771223958333334,0.28055939239410677,0.016198104072241537,0.07421875,0.5390625,1.0,256.0,50.0,0.5771223958333334,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,0.025651041666666666,0.013056455125317352,0.0011918858321983757,0.0,0.02734375,0.05859375,256.0,0.0,0.025651041666666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,256.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,256.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,256.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,256.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,120,1.0,0.0,0.0,1.0,1.0,1.0,256.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,300,0.7081901041666666,0.2841786467622461,0.016407061820612634,0.25,0.7578125,1.0,256.0,50.0,0.7081901041666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,0.015950520833333332,0.0047457138810251065,0.0006126690275691868,0.005859375,0.015625,0.025390625,512.0,0.0,0.015950520833333332,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,0.73359375,0.22905023455062426,0.029570258128649014,0.34375,0.7197265625,1.0,512.0,1.0,0.73359375,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,0.73359375,0.22905023455062426,0.029570258128649014,0.34375,0.7197265625,1.0,512.0,2.0,0.73359375,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,0.73359375,0.22905023455062426,0.029570258128649014,0.34375,0.7197265625,1.0,512.0,5.0,0.73359375,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,0.73359375,0.22905023455062426,0.029570258128649014,0.34375,0.7197265625,1.0,512.0,10.0,0.73359375,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,60,0.73359375,0.22905023455062426,0.029570258128649014,0.34375,0.7197265625,1.0,512.0,20.0,0.73359375,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,hopfield,150,0.517890625,0.2719103484659963,0.022201386984135256,0.095703125,0.50390625,1.0,512.0,50.0,0.517890625,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,0.017643229166666666,0.005488654882342409,0.0007085822984130726,0.005859375,0.01953125,0.025390625,512.0,0.0,0.017643229166666666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,512.0,1.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,512.0,2.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,512.0,5.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,512.0,10.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,60,1.0,0.0,0.0,1.0,1.0,1.0,512.0,20.0,1.0,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,exact_pair,nearest,150,0.7050520833333334,0.28762739461124875,0.023484678428123445,0.25390625,0.7529296875,1.0,512.0,50.0,0.7050520833333334,,,,,,,,,,,,,,,,,
