experiment,seed,num_states,num_inputs,state_dim,input_dim,register_type,transition_accuracy,mean_abs_overlap
exp01_transition_accuracy,0,32,4,64,16,hopfield,0.53125,0.1003024193548387
exp01_transition_accuracy,0,32,4,128,16,nearest,1.0,0.07497479838709678
exp01_transition_accuracy,0,32,4,128,16,hopfield,0.796875,0.07497479838709678
exp01_transition_accuracy,0,32,4,256,16,nearest,1.0,0.04840284778225806
exp01_transition_accuracy,0,32,4,256,16,hopfield,1.0,0.04840284778225806
exp01_transition_accuracy,0,32,4,512,16,nearest,1.0,0.03518775201612903
exp01_transition_accuracy,0,32,4,512,16,hopfield,1.0,0.03518775201612903
exp01_transition_accuracy,0,32,8,64,16,nearest,1.0,0.09778225806451613
exp01_transition_accuracy,0,32,8,64,16,hopfield,0.3515625,0.09778225806451613
exp01_transition_accuracy,0,32,8,128,16,nearest,1.0,0.07406123991935484
exp01_transition_accuracy,0,32,8,128,16,hopfield,0.78125,0.07406123991935484
exp01_transition_accuracy,0,32,8,256,16,nearest,1.0,0.050072454637096774
exp01_transition_accuracy,0,32,8,256,16,hopfield,1.0,0.050072454637096774
exp01_transition_accuracy,0,32,8,512,16,nearest,1.0,0.035069619455645164
exp01_transition_accuracy,0,32,8,512,16,hopfield,1.0,0.035069619455645164
exp01_transition_accuracy,0,64,2,64,16,nearest,1.0,0.10168650793650794
exp01_transition_accuracy,0,64,2,64,16,hopfield,0.375,0.10168650793650794
exp01_transition_accuracy,0,64,2,128,16,nearest,1.0,0.07056826636904762
exp01_transition_accuracy,0,64,2,128,16,hopfield,0.484375,0.07056826636904762
exp01_transition_accuracy,0,64,2,256,16,nearest,1.0,0.049548921130952384
exp01_transition_accuracy,0,64,2,256,16,hopfield,0.6953125,0.049548921130952384
exp01_transition_accuracy,0,64,2,512,16,nearest,1.0,0.034693157862103176
exp01_transition_accuracy,0,64,2,512,16,hopfield,1.0,0.034693157862103176
exp01_transition_accuracy,0,64,4,64,16,nearest,1.0,0.10142299107142858
exp01_transition_accuracy,0,64,4,64,16,hopfield,0.28125,0.10142299107142858
exp01_transition_accuracy,0,64,4,128,16,nearest,1.0,0.07076977926587301
exp01_transition_accuracy,0,64,4,128,16,hopfield,0.41796875,0.07076977926587301
exp01_transition_accuracy,0,64,4,256,16,nearest,1.0,0.051482669890873016
exp01_transition_accuracy,0,64,4,256,16,hopfield,0.59765625,0.051482669890873016
exp01_transition_accuracy,0,64,4,512,16,nearest,1.0,0.03520275297619048
exp01_transition_accuracy,0,64,4,512,16,hopfield,1.0,0.03520275297619048
exp01_transition_accuracy,0,64,8,64,16,nearest,1.0,0.10075644841269842
exp01_transition_accuracy,0,64,8,64,16,hopfield,0.265625,0.10075644841269842
exp01_transition_accuracy,0,64,8,128,16,nearest,1.0,0.0710177951388889
exp01_transition_accuracy,0,64,8,128,16,hopfield,0.419921875,0.0710177951388889
exp01_transition_accuracy,0,64,8,256,16,nearest,1.0,0.051482669890873016
exp01_transition_accuracy,0,64,8,256,16,hopfield,0.681640625,0.051482669890873016
exp01_transition_accuracy,0,64,8,512,16,nearest,1.0,0.03452264694940476
exp01_transition_accuracy,0,64,8,512,16,hopfield,1.0,0.03452264694940476
exp01_transition_accuracy,1,4,2,64,16,nearest,1.0,0.09375
exp01_transition_accuracy,1,4,2,64,16,hopfield,1.0,0.09375
exp01_transition_accuracy,1,4,2,128,16,nearest,1.0,0.0703125
exp01_transition_accuracy,1,4,2,128,16,hopfield,1.0,0.0703125
exp01_transition_accuracy,1,4,2,256,16,nearest,1.0,0.046875
exp01_transition_accuracy,1,4,2,256,16,hopfield,1.0,0.046875
exp01_transition_accuracy,1,4,2,512,16,nearest,1.0,0.03125
exp01_transition_accuracy,1,4,2,512,16,hopfield,1.0,0.03125
exp01_transition_accuracy,1,4,4,64,16,nearest,1.0,0.08333333333333333
exp01_transition_accuracy,1,4,4,64,16,hopfield,1.0,0.08333333333333333
exp01_transition_accuracy,1,4,4,128,16,nearest,1.0,0.078125
exp01_transition_accuracy,1,4,4,128,16,hopfield,1.0,0.078125
exp01_transition_accuracy,1,4,4,256,16,nearest,1.0,0.053385416666666664
exp01_transition_accuracy,1,4,4,256,16,hopfield,1.0,0.053385416666666664
exp01_transition_accuracy,1,4,4,512,16,nearest,1.0,0.034505208333333336
exp01_transition_accuracy,1,4,4,512,16,hopfield,1.0,0.034505208333333336
exp01_transition_accuracy,1,4,8,64,16,nearest,1.0,0.08333333333333333
exp01_transition_accuracy,1,4,8,64,16,hopfield,1.0,0.08333333333333333
exp01_transition_accuracy,1,4,8,128,16,nearest,1.0,0.0546875
exp01_transition_accuracy,1,4,8,128,16,hopfield,1.0,0.0546875
exp01_transition_accuracy,1,4,8,256,16,nearest,1.0,0.055989583333333336
exp01_transition_accuracy,1,4,8,256,16,hopfield,1.0,0.055989583333333336
exp01_transition_accuracy,1,4,8,512,16,nearest,1.0,0.03125
exp01_transition_accuracy,1,4,8,512,16,hopfield,1.0,0.03125
exp01_transition_accuracy,1,8,2,64,16,nearest,1.0,0.10044642857142858
exp01_transition_accuracy,1,8,2,64,16,hopfield,1.0,0.10044642857142858
exp01_transition_accuracy,1,8,2,128,16,nearest,1.0,0.06752232142857142
exp01_transition_accuracy,1,8,2,128,16,hopfield,1.0,0.06752232142857142
exp01_transition_accuracy,1,8,2,256,16,nearest,1.0,0.041015625
exp01_transition_accuracy,1,8,2,256,16,hopfield,1.0,0.041015625
exp01_transition_accuracy,1,8,2,512,16,nearest,1.0,0.03892299107142857
exp01_transition_accuracy,1,8,2,512,16,hopfield,1.0,0.03892299107142857
exp01_transition_accuracy,1,8,4,64,16,nearest,1.0,0.11941964285714286
exp01_transition_accuracy,1,8,4,64,16,hopfield,1.0,0.11941964285714286
exp01_transition_accuracy,1,8,4,128,16,nearest,1.0,0.07868303571428571
exp01_transition_accuracy,1,8,4,128,16,hopfield,1.0,0.07868303571428571
exp01_transition_accuracy,1,8,4,256,16,nearest,1.0,0.041294642857142856
exp01_transition_accuracy,1,8,4,256,16,hopfield,1.0,0.041294642857142856
exp01_transition_accuracy,1,8,4,512,16,nearest,1.0,0.03515625
exp01_transition_accuracy,1,8,4,512,16,hopfield,1.0,0.03515625
exp01_transition_accuracy,1,8,8,64,16,nearest,1.0,0.09486607142857142
exp01_transition_accuracy,1,8,8,64,16,hopfield,1.0,0.09486607142857142
exp01_transition_accuracy,1,8,8,128,16,nearest,1.0,0.07087053571428571
exp01_transition_accuracy,1,8,8,128,16,hopfield,1.0,0.07087053571428571
exp01_transition_accuracy,1,8,8,256,16,nearest,1.0,0.048828125
exp01_transition_accuracy,1,8,8,256,16,hopfield,1.0,0.048828125
exp01_transition_accuracy,1,8,8,512,16,nearest,1.0,0.030412946428571428
exp01_transition_accuracy,1,8,8,512,16,hopfield,1.0,0.030412946428571428
exp01_transition_accuracy,1,16,2,64,16,nearest,1.0,0.10442708333333334
exp01_transition_accuracy,1,16,2,64,16,hopfield,1.0,0.10442708333333334
exp01_transition_accuracy,1,16,2,128,16,nearest,1.0,0.0765625
exp01_transition_accuracy,1,16,2,128,16,hopfield,1.0,0.0765625
exp01_transition_accuracy,1,16,2,256,16,nearest,1.0,0.04895833333333333
