experiment,seed,num_states,state_dim,register_type,flip_fraction,trials_per_state,recovery_accuracy,mean_abs_overlap
exp02_noise_recovery,0,16,64,nearest,0.3,20,0.984375,0.09739583333333333
exp02_noise_recovery,0,16,64,nearest,0.35,20,0.91875,0.09739583333333333
exp02_noise_recovery,0,16,64,nearest,0.4,20,0.359375,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.0,20,1.0,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.05,20,0.953125,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.1,20,0.884375,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.15,20,0.775,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.2,20,0.684375,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.25,20,0.534375,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.3,20,0.3625,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.35,20,0.296875,0.09739583333333333
exp02_noise_recovery,0,16,64,hopfield,0.4,20,0.16875,0.09739583333333333
exp02_noise_recovery,0,16,128,nearest,0.0,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.05,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.1,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.15,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.2,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.25,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.3,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.35,20,0.996875,0.0671875
exp02_noise_recovery,0,16,128,nearest,0.4,20,0.85,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.0,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.05,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.1,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.15,20,1.0,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.2,20,0.978125,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.25,20,0.903125,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.3,20,0.8,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.35,20,0.521875,0.0671875
exp02_noise_recovery,0,16,128,hopfield,0.4,20,0.3,0.0671875
exp02_noise_recovery,0,16,256,nearest,0.0,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.05,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.1,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.15,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.2,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.25,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.3,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.35,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,nearest,0.4,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.0,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.05,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.1,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.15,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.2,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.25,20,1.0,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.3,20,0.99375,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.35,20,0.896875,0.05091145833333333
exp02_noise_recovery,0,16,256,hopfield,0.4,20,0.628125,0.05091145833333333
exp02_noise_recovery,0,16,512,nearest,0.0,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.05,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.1,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.15,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.2,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.25,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.3,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.35,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,nearest,0.4,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.0,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.05,20,1.0,0.033430989583333334
